Threads,Throughput (ops/s),Avg Latency (ms),P50 Latency (ms),P90 Latency (ms),P95 Latency (ms),P99 Latency (ms),Max Latency (ms),Success Rate (%)
1,1033.80,0.87,0.86,1.15,1.43,3.29,18.87,100.00
6,3880.42,1.38,1.21,2.27,2.66,5.45,23.53,100.00
11,3348.78,2.95,3.31,4.57,5.18,9.55,23.41,100.00
16,2871.08,4.30,4.86,6.88,7.72,11.43,31.18,100.00
21,2379.57,5.65,6.28,9.13,10.68,14.75,23.28,100.00
26,1884.58,6.97,6.72,13.14,14.73,17.44,29.55,100.00
31,1380.84,8.24,7.61,14.59,15.91,18.65,28.19,100.00
36,863.66,9.79,9.63,15.81,17.37,21.76,31.90,100.00
41,431.51,10.89,11.49,16.35,18.31,22.23,30.86,100.00
46,36.78,11.96,12.01,17.99,20.87,23.37,23.63,100.00
